;;;;;;;;;;;;;
;PARO REGISTRADO SEGÚN SEXO, EDAD Y SECTOR DE ACTIVIDAD ECONÓMICA;;;;;;;;;;;;
;;;;;;;;;;;;;
;GRANADA;;;;;;;;ABRIL 2013;;;;
;MUNICIPIOS;TOTAL;SEXO Y EDAD;;;;;;SECTORES;;;;
;;;HOMBRES;;;MUJERES;;;AGRI- CULTURA;INDUS- TRIA;CONS- TRUCCIÓN;SERVICIOS;SIN EMPLEO ANTERIOR
;;;<25;25 - 44;>=45;<25;25 - 44;>=45;;;;;
;;;;;;;;;;;;;
18001;AGRON;30;6;8;2;5;3;6;4; ;4;12;10
18002;ALAMEDILLA;35;5;10;12; ;6;2;9;1;9;14;2
18003;ALBOLOTE;2,401;179;589;430;150;658;395;95;266;429;1,336;275
18004;ALBONDON;68;6;21;10;5;17;9;4;3;23;32;6
18005;ALBUÑAN;35;3;9;7; ;13;3; ;1;13;18;3
18006;ALBUÑOL;654;43;214;111;63;147;76;170;23;118;273;70
18007;ALBUÑUELAS;71;4;22;18;5;17;5;8;5;33;20;5
18010;ALDEIRE;34;4;7;9;2;8;4;4;3;8;16;3
18011;ALFACAR;739;62;202;154;48;179;94;27;71;204;344;93
18012;ALGARINEJO;93;6;29;25;6;23;4;27;5;16;39;6
18013;ALHAMA DE GRANADA;543;41;165;107;43;133;54;162;23;81;236;41
18014;ALHENDIN;1,136;44;336;172;59;358;167;19;73;180;749;115
18015;ALICUN DE ORTEGA;22;2;5;7;3;3;2;2; ;10;8;2
18016;ALMEGIJAR;21;2;5;6;1;4;3;2;5;3;11; 
18017;ALMUÑECAR;3,686;204;984;727;179;897;695;100;129;681;2,259;517
18904;ALPUJARRA DE LA SIERRA;82;8;27;25;2;12;8;11;3;29;35;4
18018;ALQUIFE;93;6;22;29;4;15;17;2;10;30;45;6
18020;ARENAS DEL REY;147;15;37;38;11;27;19;45;10;11;70;11
18021;ARMILLA;3,278;200;840;530;181;978;549;71;208;541;2,107;351
18022;ATARFE;2,442;156;695;408;124;743;316;185;299;420;1,303;235
18023;BAZA;2,408;159;561;480;154;652;402;250;247;385;1,253;273
18024;BEAS DE GRANADA;88;5;22;21;6;19;15;2;10;24;44;8
18025;BEAS DE GUADIX;49;2;19;9;2;10;7;4;2;22;18;3
18027;BENALUA;550;48;156;100;42;158;46;66;87;91;255;51
18028;BENALUA DE LAS VILLAS;90;9;24;29;10;13;5;21;7;18;31;13
18029;BENAMAUREL;179;13;52;43;10;44;17;25;18;46;73;17
18030;BERCHULES;50;3;14;14;4;9;6;6;4;17;19;4
18032;BUBION;49;2;7;15;1;12;12;1;3;8;33;4
18033;BUSQUISTAR;41; ;14;9;3;10;5;4;4;1;26;6
18034;CACIN;52;4;10;11;4;15;8;7;6;15;21;3
18035;CADIAR;128;12;34;40;7;18;17;10;12;42;45;19
18036;CAJAR;476;24;117;90;20;135;90;6;36;87;300;47
18114;CALAHORRA, LA;72;4;12;21;2;20;13;6;7;9;41;9
18037;CALICASAS;87;10;28;17;3;25;4;16; ;28;34;9
