;;;;;;;;;;;;;
;PARO REGISTRADO SEGÚN SEXO, EDAD Y SECTOR DE ACTIVIDAD ECONÓMICA;;;;;;;;;;;;
;;;;;;;;;;;;;
;GRANADA;;;;;;;;MAYO 2018;;;;
;MUNICIPIOS;TOTAL;SEXO Y EDAD;;;;;;SECTORES;;;;
;;;HOMBRES;;;MUJERES;;;AGRI- CULTURA;INDUS- TRIA;CONS- TRUCCIÓN;SERVICIOS;SIN EMPLEO ANTERIOR
;;;<25;25 - 44;>=45;<25;25 - 44;>=45;;;;;
;;;;;;;;;;;;;
18001;AGRON;29;1;6;4;4;12;2;1;2;2;22;2
18002;ALAMEDILLA;36;1;8;11;1;10;5;8; ;19;7;2
18003;ALBOLOTE;1,735;70;281;372;61;471;480;101;114;173;1,175;172
18004;ALBONDON;52;4;7;10;6;14;11;6; ;6;32;8
18005;ALBUÑAN;39;5;7;8;1;9;9;3;2;8;25;1
18006;ALBUÑOL;519;28;122;98;37;168;66;180;9;40;240;50
18007;ALBUÑUELAS;42;3;5;10;2;8;14;7;2;13;18;2
18010;ALDEIRE;49;4;6;15;5;9;10;3;2;25;13;6
18011;ALFACAR;486;20;86;103;22;140;115;22;42;61;300;61
18012;ALGARINEJO;64;3;11;21;4;22;3;22;4;8;28;2
18013;ALHAMA DE GRANADA;337;23;64;73;22;97;58;88;20;37;159;33
18014;ALHENDIN;955;42;193;154;35;304;227;25;44;81;712;93
18015;ALICUN DE ORTEGA;39;3;6;7;2;16;5;13;3;3;19;1
18016;ALMEGIJAR;15;1;5;3; ;3;3;1;1;2;11; 
18017;ALMUÑECAR;2,467;84;433;573;74;663;640;116;96;232;1,760;263
18904;ALPUJARRA DE LA SIERRA;45;3;8;15;2;9;8;6; ;11;23;5
18018;ALQUIFE;56;3;9;13;2;9;20;1;4;4;45;2
18020;ARENAS DEL REY;76;5;9;19;9;11;23;20;3;4;45;4
18021;ARMILLA;2,635;128;504;490;116;725;672;85;114;217;1,936;283
18022;ATARFE;1,882;89;335;331;116;637;374;128;168;175;1,178;233
18023;BAZA;1,686;61;277;377;71;484;416;202;148;138;1,049;149
18024;BEAS DE GRANADA;67;2;9;13;3;25;15;3;4;5;48;7
18025;BEAS DE GUADIX;26;1;9;5; ;6;5;6;2;3;14;1
18027;BENALUA;409;31;89;82;26;125;56;46;52;54;232;25
18028;BENALUA DE LAS VILLAS;54;4;10;16;6;10;8;18;3;5;25;3
18029;BENAMAUREL;147;12;36;38;5;33;23;21;25;11;81;9
18030;BERCHULES;49;3;8;8;1;14;15;9;1;4;31;4
18032;BUBION;27;1;3;6; ;7;10; ; ;1;25;1
18033;BUSQUISTAR;32;2;4;7;5;5;9;2;4;3;19;4
18034;CACIN;34;2;5;10;3;8;6;6;3;5;18;2
18035;CADIAR;108;6;19;33;6;21;23;12;4;13;70;9
18036;CAJAR;390;15;67;78;14;112;104;5;30;40;281;34
18114;CALAHORRA, LA;60;3;11;14; ;15;17;1;3;14;39;3
18037;CALICASAS;50; ;6;11;4;20;9;6; ;17;24;3
